id,name,isActive,type,users,resources
R3JvdXA6MTYzNzk1,Everyone,True,SYSTEM,"['VXNlcjozODQ5ODA=', 'VXNlcjozODQ5ODI=', 'VXNlcjozODQ5ODY=', 'VXNlcjozODQ5ODc=', 'VXNlcjozODUwMDI=', 'VXNlcjozOTg1NzY=', 'VXNlcjozOTg1Nzg=', 'VXNlcjozOTg1Nzk=', 'VXNlcjozOTg1ODQ=', 'VXNlcjo0MDM2NDc=', 'VXNlcjo0MDgyODE=', 'VXNlcjo0MDgyODI=', 'VXNlcjo0MDgyODM=', 'VXNlcjo0MDg0MDY=', 'VXNlcjo0MzY1MDY=', 'VXNlcjo0MzY1MDc=', 'VXNlcjo0MzY1MDg=', 'VXNlcjo0MzY1MDk=', 'VXNlcjo0MzY1MTA=', 'VXNlcjo0NTk0MTg=', 'VXNlcjo0NTk0MTk=', 'VXNlcjo0NTk0MjA=', 'VXNlcjo0NTk0MjM=', 'VXNlcjo0NTk0MjQ=', 'VXNlcjo0NTk0MjU=', 'VXNlcjo0NTk0Mjc=', 'VXNlcjo0NTk5ODc=', 'VXNlcjo0NjY4Nzg=', 'VXNlcjo0NjY4ODI=', 'VXNlcjo0NzE2MjI=', 'VXNlcjo0NzI2MTg=', 'VXNlcjo0NzMxNzM=', 'VXNlcjo0NzMxNzU=', 'VXNlcjo0NzMxNzY=', 'VXNlcjo0NzMxNzk=', 'VXNlcjo0NzMxODg=', 'VXNlcjo0NzMxOTM=', 'VXNlcjo0NzMxOTQ=', 'VXNlcjo0NzMxOTU=', 'VXNlcjo0NzMxOTg=', 'VXNlcjo0NzMxOTk=', 'VXNlcjo0NzMyMDE=', 'VXNlcjo0NzMyMDI=', 'VXNlcjo0NzMyMDM=', 'VXNlcjo0NzMyMDU=', 'VXNlcjo0NzMyODI=', 'VXNlcjo0NzMyODM=', 'VXNlcjo0NzMyODU=', 'VXNlcjo0NzMyODY=', 'VXNlcjo0NzMyODg=']","['UmVzb3VyY2U6MjM0ODczNQ==', 'UmVzb3VyY2U6MjQ1ODc5MQ==', 'UmVzb3VyY2U6MjQ1ODc5Mg==', 'UmVzb3VyY2U6MjQ4NDI2Nw==', 'UmVzb3VyY2U6MjQ5MTI5OQ==', 'UmVzb3VyY2U6MzQ4NDAyNQ==', 'UmVzb3VyY2U6MzQ4NDAyOQ==', 'UmVzb3VyY2U6MzQ4NDAzMw==', 'UmVzb3VyY2U6MzQ4NDA0OQ==']"
R3JvdXA6MTYzODAz,EverOps,False,SYNCED,"['VXNlcjozODQ5ODA=', 'VXNlcjozODQ5ODY=', 'VXNlcjozODQ5ODc=', 'VXNlcjo2NjE3NTQ=', 'VXNlcjo3NzQ2Mjg=']","['UmVzb3VyY2U6MjkzNDc4Mg==', 'UmVzb3VyY2U6Mjk4MDIyNA==']"
R3JvdXA6MTYzODIx,All Employees,True,SYNCED,"['VXNlcjozODQ5ODI=', 'VXNlcjozODUwMDI=', 'VXNlcjozOTg1NzY=', 'VXNlcjozOTg1Nzg=', 'VXNlcjozOTg1Nzk=', 'VXNlcjozOTg1ODQ=', 'VXNlcjo0MDM2NDc=', 'VXNlcjo0MDgyODE=', 'VXNlcjo0MDgyODI=', 'VXNlcjo0MDgyODM=', 'VXNlcjo0MDg0MDY=', 'VXNlcjo0MzY1MDY=', 'VXNlcjo0MzY1MDc=', 'VXNlcjo0MzY1MDg=', 'VXNlcjo0MzY1MDk=', 'VXNlcjo0MzY1MTA=', 'VXNlcjo0NTk0MTg=', 'VXNlcjo0NTk0MTk=', 'VXNlcjo0NTk0MjA=', 'VXNlcjo0NTk0MjM=', 'VXNlcjo0NTk0MjQ=', 'VXNlcjo0NTk0MjU=', 'VXNlcjo0NTk0Mjc=', 'VXNlcjo0NTk5ODc=', 'VXNlcjo0NjY4Nzg=', 'VXNlcjo0NjY4ODI=', 'VXNlcjo0NzE2MjI=', 'VXNlcjo0NzI2MTg=', 'VXNlcjo0NzMxNzM=', 'VXNlcjo0NzMxNzU=', 'VXNlcjo0NzMxNzY=', 'VXNlcjo0NzMxNzk=', 'VXNlcjo0NzMxODg=', 'VXNlcjo0NzMxOTM=', 'VXNlcjo0NzMxOTQ=', 'VXNlcjo0NzMxOTU=', 'VXNlcjo0NzMxOTg=', 'VXNlcjo0NzMxOTk=', 'VXNlcjo0NzMyMDE=', 'VXNlcjo0NzMyMDI=', 'VXNlcjo0NzMyMDM=', 'VXNlcjo0NzMyMDU=', 'VXNlcjo0NzMyODI=', 'VXNlcjo0NzMyODM=', 'VXNlcjo0NzMyODU=', 'VXNlcjo0NzMyODY=', 'VXNlcjo0NzMyODg=', 'VXNlcjo0NzMyODk=', 'VXNlcjo0NzMyOTA=', 'VXNlcjo0NzMyOTE=']","['UmVzb3VyY2U6MjM0ODc3NA==', 'UmVzb3VyY2U6MjM1ODg2Mg==', 'UmVzb3VyY2U6MjM1ODg2OA==', 'UmVzb3VyY2U6MjM1OTgxMw==', 'UmVzb3VyY2U6MjM2MzU0Mg==', 'UmVzb3VyY2U6MjM2MzU0Mw==', 'UmVzb3VyY2U6MjM2MzU0NA==', 'UmVzb3VyY2U6MjM2MzU0NQ==', 'UmVzb3VyY2U6MjM2MzU0Ng==', 'UmVzb3VyY2U6MjM2MzU0Nw==', 'UmVzb3VyY2U6MjQ1ODc5MQ==', 'UmVzb3VyY2U6MjQ1ODc5Mg==', 'UmVzb3VyY2U6MjUyMTQ3OQ==', 'UmVzb3VyY2U6MjUyNDA0OQ==', 'UmVzb3VyY2U6MjkzNDc4Mg==', 'UmVzb3VyY2U6Mjk4MDIyNA==', 'UmVzb3VyY2U6MzI1MDI4MA==', 'UmVzb3VyY2U6MzMyMDkxOQ==', 'UmVzb3VyY2U6MzM5NTEzMA==', 'UmVzb3VyY2U6MzQwMzc4MQ==', 'UmVzb3VyY2U6MzQ3OTY3Ng==', 'UmVzb3VyY2U6MzYwMzIxOQ==']"
R3JvdXA6MTYzODIy,Teleperformance,False,SYNCED,"['VXNlcjo2MjY4Mjc=', 'VXNlcjo2MjY4MzA=', 'VXNlcjo2MjY4MzE=', 'VXNlcjo2NTI0MDA=', 'VXNlcjo2NTI0MDI=', 'VXNlcjo2NTI0MDM=', 'VXNlcjo2NTI0MDQ=', 'VXNlcjo2NTI0MDY=', 'VXNlcjo2NTI0MDk=', 'VXNlcjo2NTI0MTA=', 'VXNlcjo2NTI0MTI=', 'VXNlcjo2NTI0MTY=', 'VXNlcjo2NTI0MTc=', 'VXNlcjo2NTI0MTk=', 'VXNlcjo2NTI0MjE=', 'VXNlcjo2NTI0MjI=', 'VXNlcjo2NTI0MjM=', 'VXNlcjo2NTI0Mjc=', 'VXNlcjo2NTI0Mjk=', 'VXNlcjo2NTI0MzE=', 'VXNlcjo2NTI0MzM=', 'VXNlcjo2NTI0MzU=', 'VXNlcjo2NTI0MzY=', 'VXNlcjo2NTI0Mzc=', 'VXNlcjo2NTI0Mzk=', 'VXNlcjo2NTI0NDE=', 'VXNlcjo2NTI0NDc=', 'VXNlcjo2NTI0NDk=', 'VXNlcjo2NTI0NTA=', 'VXNlcjo2NTI0NTI=', 'VXNlcjo2NTI0NTM=', 'VXNlcjo2NTI0NTg=', 'VXNlcjo2NTI0NjA=', 'VXNlcjo2NTI0NjE=', 'VXNlcjo2NTI0NzQ=', 'VXNlcjo2NTI0Nzk=', 'VXNlcjo2NTI0OTE=', 'VXNlcjo2NTI0OTQ=', 'VXNlcjo2NTI0OTk=', 'VXNlcjo2NTI1MDg=', 'VXNlcjo2NTI1MTA=', 'VXNlcjo2NTI1MTI=', 'VXNlcjo2NTI1MTQ=', 'VXNlcjo2NTI1MTY=', 'VXNlcjo2NTI1MTc=', 'VXNlcjo2NTI1MjI=', 'VXNlcjo2ODY0Nzk=', 'VXNlcjo2OTQ3NzU=', 'VXNlcjo3MTgzNDc=', 'VXNlcjo3MTgzNTQ=']",[]
R3JvdXA6MTcyOTE2,Cloud Infrastructure Team,False,SYNCED,"['VXNlcjozOTg1Nzg=', 'VXNlcjo0MzY1MDc=', 'VXNlcjo1NjUwODk=', 'VXNlcjoxMDI4ODU0', 'VXNlcjoxMTUyODEw', 'VXNlcjoxMTU0NDEx']","['UmVzb3VyY2U6MjQxMzYxNQ==', 'UmVzb3VyY2U6MjQ3MTQxOQ==', 'UmVzb3VyY2U6MjUyMTA5MQ==', 'UmVzb3VyY2U6MjcyMzk1NA==', 'UmVzb3VyY2U6Mjc1NzU0Mw==', 'UmVzb3VyY2U6Mjc4MTQ2Mg==', 'UmVzb3VyY2U6MzM5MDEwMg==', 'UmVzb3VyY2U6MzQyNzgwMA==', 'UmVzb3VyY2U6MzQ0NDgyMA==', 'UmVzb3VyY2U6MzQ5MTczMg==', 'UmVzb3VyY2U6MzUxODc4Mw==', 'UmVzb3VyY2U6MzU1NzE0MQ==', 'UmVzb3VyY2U6MzU3NDgzNA==', 'UmVzb3VyY2U6MzU3NDgzNQ==', 'UmVzb3VyY2U6MzU3NjY3MA==', 'UmVzb3VyY2U6MzYwNzU2MA==']"
R3JvdXA6MTc0NTEw,Serving Infrastructure Team,False,SYNCED,"['VXNlcjozODQ5ODI=', 'VXNlcjozOTg1NzY=', 'VXNlcjo0MDgyODE=', 'VXNlcjo0MDgyODM=', 'VXNlcjo0MzY1MTA=', 'VXNlcjo1MjAyODc=', 'VXNlcjo1NzI0MTI=', 'VXNlcjo2MDAwMjU=', 'VXNlcjoxMTM1MDI1']","['UmVzb3VyY2U6MjQxMzYxNQ==', 'UmVzb3VyY2U6MjQ3MTQxOQ==']"
R3JvdXA6MTg1MjM2,Developer Infrastructure Team,False,SYNCED,"['VXNlcjo0MzY1MDg=', 'VXNlcjo0MzY1MDk=', 'VXNlcjo0NzI2MTg=', 'VXNlcjo2MDk2NzI=', 'VXNlcjo3MDQ3Nzg=', 'VXNlcjo4Nzk5OTg=', 'VXNlcjo5NDc0MTg=', 'VXNlcjo5OTAyMTg=', 'VXNlcjoxMDAwNDk2', 'VXNlcjoxMDA3NDkz', 'VXNlcjoxMDE0Mjg1', 'VXNlcjoxMTM2OTA0', 'VXNlcjoxMTcxNzgx']","['UmVzb3VyY2U6MjQxMzYxNQ==', 'UmVzb3VyY2U6MjQ3MTQxOQ==']"
R3JvdXA6MTk0NjIy,Data Engineering Team,False,SYNCED,"['VXNlcjo0NTk0MTg=', 'VXNlcjo0NTk0MTk=', 'VXNlcjo0NTk0MjA=', 'VXNlcjo0NTk0MjM=', 'VXNlcjo0NTk0MjQ=', 'VXNlcjo0NTk0Mjc=', 'VXNlcjo2MDk2ODU=', 'VXNlcjo2NzU5Mjk=', 'VXNlcjo2ODYzMjg=', 'VXNlcjo2ODY0MTE=', 'VXNlcjo2ODY0MTI=', 'VXNlcjo5MDc1NDk=', 'VXNlcjo5MTkwODM=', 'VXNlcjoxMDMwMDY3', 'VXNlcjoxMTM2OTU4', 'VXNlcjoxMTUyNzk1', 'VXNlcjoxMTgzNjkx', 'VXNlcjoxMjI2MjIw']","['UmVzb3VyY2U6MjQxMzYxNQ==', 'UmVzb3VyY2U6MjQ3MTQxOQ==', 'UmVzb3VyY2U6MjQ4NDU2OA==', 'UmVzb3VyY2U6MjQ4NDU3NA==']"
R3JvdXA6MjA0NDM5,Admin Mode - Engineering,True,SYNCED,"['VXNlcjozODQ5ODI=', 'VXNlcjozODUwMDI=', 'VXNlcjozOTg1NzY=', 'VXNlcjozOTg1Nzg=', 'VXNlcjozOTg1Nzk=', 'VXNlcjozOTg1ODQ=', 'VXNlcjo0MDM2NDc=', 'VXNlcjo0MDgyODE=', 'VXNlcjo0MDgyODI=', 'VXNlcjo0MDgyODM=', 'VXNlcjo0MDg0MDY=', 'VXNlcjo0MzY1MDY=', 'VXNlcjo0MzY1MDc=', 'VXNlcjo0MzY1MDg=', 'VXNlcjo0MzY1MDk=', 'VXNlcjo0MzY1MTA=', 'VXNlcjo0NTk0MTg=', 'VXNlcjo0NTk0MTk=', 'VXNlcjo0NTk0MjA=', 'VXNlcjo0NTk0MjM=', 'VXNlcjo0NTk0MjQ=', 'VXNlcjo0NTk0MjU=', 'VXNlcjo0NTk0Mjc=', 'VXNlcjo0NTk5ODc=', 'VXNlcjo0NjY4Nzg=', 'VXNlcjo0NjY4ODI=', 'VXNlcjo0NzE2MjI=', 'VXNlcjo0NzI2MTg=', 'VXNlcjo0NzMxNzM=', 'VXNlcjo0NzMxNzU=', 'VXNlcjo0NzMxNzY=', 'VXNlcjo0NzMxNzk=', 'VXNlcjo0NzMxODg=', 'VXNlcjo0NzMxOTM=', 'VXNlcjo0NzMxOTQ=', 'VXNlcjo0NzMxOTU=', 'VXNlcjo0NzMxOTg=', 'VXNlcjo0NzMxOTk=', 'VXNlcjo0NzMyMDE=', 'VXNlcjo0NzMyMDI=', 'VXNlcjo0NzMyMDM=', 'VXNlcjo0NzMyMDU=', 'VXNlcjo0NzMyODI=', 'VXNlcjo0NzMyODM=', 'VXNlcjo0NzMyODU=', 'VXNlcjo0NzMyODY=', 'VXNlcjo0NzMyODg=', 'VXNlcjo0NzMyODk=', 'VXNlcjo0NzMyOTA=', 'VXNlcjo0NzMyOTE=']","['UmVzb3VyY2U6MjQxMzYxNQ==', 'UmVzb3VyY2U6MjQ3MTQxOQ==', 'UmVzb3VyY2U6MzQ4NDA0NQ==', 'UmVzb3VyY2U6MzQ4NDA1NQ==']"
R3JvdXA6MjA0OTI3,Data,True,SYNCED,"['VXNlcjozODQ5ODI=', 'VXNlcjozODUwMDI=', 'VXNlcjozOTg1NzY=', 'VXNlcjozOTg1Nzg=', 'VXNlcjozOTg1Nzk=', 'VXNlcjozOTg1ODQ=', 'VXNlcjo0MDM2NDc=', 'VXNlcjo0MDgyODE=', 'VXNlcjo0MDgyODI=', 'VXNlcjo0MDgyODM=', 'VXNlcjo0MDg0MDY=', 'VXNlcjo0MzY1MDY=', 'VXNlcjo0MzY1MDc=', 'VXNlcjo0MzY1MDg=', 'VXNlcjo0MzY1MDk=', 'VXNlcjo0MzY1MTA=', 'VXNlcjo0NTk0MTg=', 'VXNlcjo0NTk0MTk=', 'VXNlcjo0NTk0MjA=', 'VXNlcjo0NTk0MjM=', 'VXNlcjo0NTk0MjQ=', 'VXNlcjo0NTk0MjU=', 'VXNlcjo0NTk0Mjc=', 'VXNlcjo0NTk5ODc=', 'VXNlcjo0NjY4Nzg=', 'VXNlcjo0NjY4ODI=', 'VXNlcjo0NzE2MjI=', 'VXNlcjo0NzI2MTg=', 'VXNlcjo0NzMxNzM=', 'VXNlcjo0NzMxNzU=', 'VXNlcjo0NzMxNzY=', 'VXNlcjo0NzMxNzk=', 'VXNlcjo0NzMxODg=', 'VXNlcjo0NzMxOTM=', 'VXNlcjo0NzMxOTQ=', 'VXNlcjo0NzMxOTU=', 'VXNlcjo0NzMxOTg=', 'VXNlcjo0NzMxOTk=', 'VXNlcjo0NzMyMDE=', 'VXNlcjo0NzMyMDI=', 'VXNlcjo0NzMyMDM=', 'VXNlcjo0NzMyMDU=', 'VXNlcjo0NzMyODI=', 'VXNlcjo0NzMyODM=', 'VXNlcjo0NzMyODU=', 'VXNlcjo0NzMyODY=', 'VXNlcjo0NzMyODg=', 'VXNlcjo0NzMyODk=', 'VXNlcjo0NzMyOTA=', 'VXNlcjo0NzMyOTE=']","['UmVzb3VyY2U6MjM1ODg2Mg==', 'UmVzb3VyY2U6MjM1ODg2OA==', 'UmVzb3VyY2U6MjM2MzU0Mg==', 'UmVzb3VyY2U6MjM2MzU0Mw==', 'UmVzb3VyY2U6MjM2MzU0Ng==', 'UmVzb3VyY2U6MjQxMzYxNQ==', 'UmVzb3VyY2U6MjQ0ODYwNg==', 'UmVzb3VyY2U6MjQ3MTQxOQ==', 'UmVzb3VyY2U6MjQ4NDU2OA==', 'UmVzb3VyY2U6MjQ4NDU3NA==', 'UmVzb3VyY2U6Mjc4MTQ2Mg==', 'UmVzb3VyY2U6MzI1MDI4MA==', 'UmVzb3VyY2U6MzMyMDkxOQ==', 'UmVzb3VyY2U6MzQ4NDAxMg==', 'UmVzb3VyY2U6MzQ4NDAxNA==', 'UmVzb3VyY2U6MzQ4NDAyMg==', 'UmVzb3VyY2U6MzQ4NDAzMQ==', 'UmVzb3VyY2U6MzQ4NDAzNQ==', 'UmVzb3VyY2U6MzQ4NDAzNg==', 'UmVzb3VyY2U6MzQ4NDA0MQ==', 'UmVzb3VyY2U6MzQ4NDA0NQ==', 'UmVzb3VyY2U6MzQ4NDA0OA==', 'UmVzb3VyY2U6MzQ4NDA1MA==', 'UmVzb3VyY2U6MzQ4NDA1Mw==', 'UmVzb3VyY2U6MzQ4NDA1NA==', 'UmVzb3VyY2U6MzQ4NDA1NQ==']"
