id,name,isActive,resources,connectors
UmVtb3RlTmV0d29yazo3MTgzMQ==,Gateway VPC,True,"['UmVzb3VyY2U6MjM0ODczNQ==', 'UmVzb3VyY2U6MjM0ODc3NA==', 'UmVzb3VyY2U6MjM1ODg2Mg==', 'UmVzb3VyY2U6MjM1ODg2OA==', 'UmVzb3VyY2U6MjM1OTgxMw==', 'UmVzb3VyY2U6MjM2MzU0Mg==', 'UmVzb3VyY2U6MjM2MzU0Mw==', 'UmVzb3VyY2U6MjM2MzU0NA==', 'UmVzb3VyY2U6MjM2MzU0NQ==', 'UmVzb3VyY2U6MjM2MzU0Ng==', 'UmVzb3VyY2U6MjM2MzU0Nw==', 'UmVzb3VyY2U6MjQxMzYxNQ==', 'UmVzb3VyY2U6MjQ0ODYwNg==', 'UmVzb3VyY2U6MjQ1ODc5MQ==', 'UmVzb3VyY2U6MjQ1ODc5Mg==', 'UmVzb3VyY2U6MjQ3MTQxOQ==', 'UmVzb3VyY2U6MjUyNDA0OQ==', 'UmVzb3VyY2U6MzI1MDI4MA==', 'UmVzb3VyY2U6MzMyMDkxOQ==', 'UmVzb3VyY2U6MzQ3OTY3Ng==', 'UmVzb3VyY2U6MzQ4NDAxNA==', 'UmVzb3VyY2U6MzQ4NDAxNQ==', 'UmVzb3VyY2U6MzQ4NDAyMg==', 'UmVzb3VyY2U6MzQ4NDAzMQ==', 'UmVzb3VyY2U6MzQ4NDAzMw==', 'UmVzb3VyY2U6MzQ4NDAzNQ==', 'UmVzb3VyY2U6MzQ4NDAzNw==', 'UmVzb3VyY2U6MzQ4NDA0MQ==', 'UmVzb3VyY2U6MzQ4NDA0Mw==', 'UmVzb3VyY2U6MzQ4NDA0NA==', 'UmVzb3VyY2U6MzQ4NDA0NQ==', 'UmVzb3VyY2U6MzQ4NDA0Nw==', 'UmVzb3VyY2U6MzQ4NDA0OA==', 'UmVzb3VyY2U6MzQ4NDA0OQ==', 'UmVzb3VyY2U6MzQ4NDA1MQ==', 'UmVzb3VyY2U6MzQ4NDA1Mg==', 'UmVzb3VyY2U6MzQ4NDA1Mw==', 'UmVzb3VyY2U6MzQ4NDA1NA==', 'UmVzb3VyY2U6MzQ4NDA1NQ==', 'UmVzb3VyY2U6MzQ4NDA1Ng==', 'UmVzb3VyY2U6MzYzMTA4MQ==']","['Q29ubmVjdG9yOjE3MTcxMg==', 'Q29ubmVjdG9yOjE3NTEzNA==']"
UmVtb3RlTmV0d29yazoxMDQ3OTI=,Playground VPC,True,"['UmVzb3VyY2U6MjQ2NDM3OQ==', 'UmVzb3VyY2U6Mjc2MjU4MQ==', 'UmVzb3VyY2U6MzQ4NDAxNw==', 'UmVzb3VyY2U6MzQ4NDAzOA==']","['Q29ubmVjdG9yOjI2NDQzMg==', 'Q29ubmVjdG9yOjgyMTY1Mg==']"
UmVtb3RlTmV0d29yazoxMTAwOTM=,Flowdash VPC,True,"['UmVzb3VyY2U6MjQ4NDI2Nw==', 'UmVzb3VyY2U6MjQ5MTI5OQ==', 'UmVzb3VyY2U6MzQ4NDAyNQ==', 'UmVzb3VyY2U6MzQ4NDAyOQ==']",['Q29ubmVjdG9yOjI3ODc0OQ==']
UmVtb3RlTmV0d29yazoxMTAxNjY=,Teleskope Prod VPC,True,"['UmVzb3VyY2U6MjQ4NDU2OA==', 'UmVzb3VyY2U6MjQ4NDU3NA==', 'UmVzb3VyY2U6MzMwNDcwOA==', 'UmVzb3VyY2U6MzQ4NDAxMg==', 'UmVzb3VyY2U6MzQ4NDAxNg==', 'UmVzb3VyY2U6MzQ4NDAzNg==']",['Q29ubmVjdG9yOjI3ODkzOQ==']
UmVtb3RlTmV0d29yazoxMTg4OTI=,Dev Portal USW2 VPC,True,"['UmVzb3VyY2U6MjUxNjA5OQ==', 'UmVzb3VyY2U6MjUyMjA2OQ==', 'UmVzb3VyY2U6MjUyMjE0OQ==', 'UmVzb3VyY2U6MjUyMjE1MA==', 'UmVzb3VyY2U6MjUyMzkxNw==', 'UmVzb3VyY2U6MjUzMzk4Mw==', 'UmVzb3VyY2U6MjUzMzk4NA==', 'UmVzb3VyY2U6MjUzMzk4NQ==', 'UmVzb3VyY2U6MjU0Njg4OQ==', 'UmVzb3VyY2U6MzA3MzQ3Mg==', 'UmVzb3VyY2U6MzQ2NzI0OQ==', 'UmVzb3VyY2U6MzQ3OTg1Ng==', 'UmVzb3VyY2U6MzQ3OTg1Nw==', 'UmVzb3VyY2U6MzQ3OTg1OA==', 'UmVzb3VyY2U6MzQ4MTk4Mw==', 'UmVzb3VyY2U6MzQ4NDAyNA==', 'UmVzb3VyY2U6MzQ4NDAzMA==', 'UmVzb3VyY2U6MzU4NTg3MA==', 'UmVzb3VyY2U6MzYwMzIxOQ==']","['Q29ubmVjdG9yOjMwMTczMQ==', 'Q29ubmVjdG9yOjMwMTczMg==']"
UmVtb3RlTmV0d29yazoxMjAzNjk=,Tooling Prod VPC,True,"['UmVzb3VyY2U6MjUyMTA5MQ==', 'UmVzb3VyY2U6MjUyMTQ3OQ==', 'UmVzb3VyY2U6MzAzMzgwNA==', 'UmVzb3VyY2U6MzMwMjkzMw==', 'UmVzb3VyY2U6MzMwNDI5Mg==', 'UmVzb3VyY2U6MzQ4NDAxMw==', 'UmVzb3VyY2U6MzQ4NDAxOQ==', 'UmVzb3VyY2U6MzQ4NDAyMQ==', 'UmVzb3VyY2U6MzQ4NDAzNA==', 'UmVzb3VyY2U6MzQ4NDA0MA==']",['Q29ubmVjdG9yOjMwNTcyOA==']
UmVtb3RlTmV0d29yazoxMjEzODE=,Prod Portal USW2 VPC,True,"['UmVzb3VyY2U6MjUzMzk4Nw==', 'UmVzb3VyY2U6MjUzMzk4OA==', 'UmVzb3VyY2U6MjUzMzk4OQ==', 'UmVzb3VyY2U6MjUzMzk5MA==', 'UmVzb3VyY2U6MjUzMzk5MQ==', 'UmVzb3VyY2U6MjUzNTU1NA==', 'UmVzb3VyY2U6MjYyNzcxMA==', 'UmVzb3VyY2U6MjYyNzcxMQ==', 'UmVzb3VyY2U6Mjc3MjAyNg==', 'UmVzb3VyY2U6MzMyOTM0Nw==', 'UmVzb3VyY2U6MzQ0NzUwMg==', 'UmVzb3VyY2U6MzQ2NzI2OA==', 'UmVzb3VyY2U6MzQ2NzM3NQ==', 'UmVzb3VyY2U6MzQ4MDAxNA==', 'UmVzb3VyY2U6MzQ4MDAxNQ==', 'UmVzb3VyY2U6MzQ4NDAwOQ==', 'UmVzb3VyY2U6MzQ4NDAxOA==', 'UmVzb3VyY2U6MzQ5MzYyNg==', 'UmVzb3VyY2U6MzQ5MzYyNw==']","['Q29ubmVjdG9yOjMwODQ1Mg==', 'Q29ubmVjdG9yOjMwODQ1Mw==']"
UmVtb3RlTmV0d29yazoxMjE4NjA=,Stg Portal USW2 VPC,True,"['UmVzb3VyY2U6MjUyNzkyMA==', 'UmVzb3VyY2U6MjUzMzk3OA==', 'UmVzb3VyY2U6MjUzMzk3OQ==', 'UmVzb3VyY2U6MjUzNTU1OQ==', 'UmVzb3VyY2U6MzQ2NzM0Ng==', 'UmVzb3VyY2U6MzQ3OTg1NQ==', 'UmVzb3VyY2U6MzQ4NDAyMw==']","['Q29ubmVjdG9yOjMwOTg4Mg==', 'Q29ubmVjdG9yOjMwOTg4Mw==']"
UmVtb3RlTmV0d29yazoxMjczNTc=,JIT Dev VPC,True,"['UmVzb3VyY2U6MjU1MTk3NA==', 'UmVzb3VyY2U6MzQ4NDAyOA==']",['Q29ubmVjdG9yOjMyNTg3OQ==']
UmVtb3RlTmV0d29yazoxMjc5NTk=,JIT Prod VPC,True,"['UmVzb3VyY2U6MjU1NDQyNg==', 'UmVzb3VyY2U6MzQ4NDAyNg==']",['Q29ubmVjdG9yOjMyNzY3MA==']
