id,name,isActive,remoteNetwork.id,address.type,address.value,access.edges,securityPolicy.id,alias,isVisible,isBrowserShortcutEnabled,routingMode,tags
UmVzb3VyY2U6MjM0ODczNQ==,Admin Web Interface,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,admin.notion.so,"[{'node': {'id': 'R3JvdXA6MTYzNzk1', 'name': 'Everyone'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTMw', 'name': 'Product Administration'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,True,True,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM0ODc3NA==,Notion Labs VPC,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,IP,172.16.0.0/12,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI5', 'name': 'Network Administration'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MzIzNjI4', 'name': 'Twingate - Access - Utility'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc3MDg1', 'name': 'TEAM.AI.CONTINGENT'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,True,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM1ODg2Mg==,Snowflake Computing,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.snowflakecomputing.com,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI3', 'name': 'Data'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6ODExMjQz', 'name': 'Twingate - Access - Snowflake'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,True,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM1ODg2OA==,Snowflake App,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.snowflake.com,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI3', 'name': 'Data'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6ODExMjQz', 'name': 'Twingate - Access - Snowflake'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,False,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM1OTgxMw==,AWS Internal by Hostname,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.compute.internal,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI5', 'name': 'Network Administration'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,False,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM2MzU0Mg==,[HZ] cflt-pl-stg-kafka-1,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.4jwgm.us-west-2.aws.confluent.cloud,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI3', 'name': 'Data'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,False,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM2MzU0Mw==,[HZ] cflt-pl-dev-kafka1,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.4xyzz.us-west-2.aws.confluent.cloud,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI3', 'name': 'Data'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,False,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM2MzU0NA==,[HZ] Zone for dev-lb.notion.co,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.dev-lb.notion.co,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI5', 'name': 'Network Administration'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,False,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM2MzU0NQ==,[HZ] Internal DNS,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.internal,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI5', 'name': 'Network Administration'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MzI0MjU0', 'name': 'Twingate - Access - Production'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,False,False,THROUGH_TWINGATE,[]
UmVzb3VyY2U6MjM2MzU0Ng==,[HZ] Unmanged Elasticsearch Clusters,True,UmVtb3RlTmV0d29yazo3MTgzMQ==,DNS,*.elasticsearch,"[{'node': {'id': 'R3JvdXA6MTYzODIx', 'name': 'All Employees'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjA0OTI3', 'name': 'Data'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6MjgxMjQw', 'name': 'Elasticsearch'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Mjk2NTk3', 'name': 'EPD'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2MzY4', 'name': 'USERTYPE.EMPLOYEE'}, 'securityPolicy': None}, {'node': {'id': 'R3JvdXA6Nzc2OTU2', 'name': 'FUNCTION.EPD.EMPLOYEE'}, 'securityPolicy': None}]",U2VjdXJpdHlQb2xpY3k6MjM2NTUx,,False,False,THROUGH_TWINGATE,[]
